image_path,x_min,y_min,x_max,y_max
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\eba6e904-4030e6c3-e6da4cdf-8c3ce002-a7e27d15.jpg,111,51,2523,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\06d49407-c3110085-523e5d21-5ab78ec9-4f4ca738.jpg,0,0,1736,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\f7f394ec-99c21bef-1c73d999-0cecb145-e42c8203.jpg,39,19,2519,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\2a2992bc-ce749b7a-090a94a3-80d7d59c-039fc25f.jpg,43,19,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\c58eb62d-901fb5d9-92ade965-8541a981-f4e699fa.jpg,0,0,2483,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\c0d870f8-16c2e85a-a2018979-66fab1b2-dd3efb23.jpg,0,0,2544,3043
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\0e252b44-7eeee514-f7db5565-5c69c644-9808eb6c.jpg,0,43,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\79857925-e8b97f5d-fcdc9923-e835342d-6c79ba97.jpg,352,231,3056,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\8208bcf9-88557de5-256f7884-d47199e9-1746527c.jpg,55,43,2467,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\3d2bae29-7504f8f4-4c6aaa8f-694ced3f-bb470179.jpg,21,3,3056,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\c012c202-5c565930-6ac4ac7b-c0565555-add2f56d.jpg,0,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\32dee765-a376016e-7362a17d-fb513a91-ef47e7e2.jpg,74,54,2463,3008
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\de743d0e-9e3a93bb-c6a21c2d-0353b7c9-a7766290.jpg,50,0,2429,2389
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\fdda2fab-2b97ad9e-54cfd7cd-46ed9a21-9299fb33.jpg,0,31,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\1549d82d-671cc459-47ad8a4c-668d2794-4cee25bf.jpg,0,0,1736,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\34b1221a-f7580c62-08854764-fc3527a4-e37028e9.jpg,51,111,2544,2955
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\33f09d1c-24c54822-99df2831-b2b33bf7-4a644e50.jpg,0,179,2544,2887
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\7f7ed50e-671fde48-9564d740-65dfcc17-fe5a8ee2.jpg,0,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\0a1a0a63-f912b740-8bfa9eed-903ca674-50cc8cec.jpg,0,0,2021,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\b5775f9e-6e8b96fd-6da447d3-beede857-2902ce32.jpg,0,0,1756,1936
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\e04b7803-d65a98b2-e7366990-a2a373c2-30f752ca.jpg,0,19,3056,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\2738bd5e-598ade3a-53795582-7de3c225-a307b10a.jpg,0,0,2021,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\56faa6a6-09cfcbd7-d63060ba-5cf06616-2e030629.jpg,0,18,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\8940c9a9-fd942304-bde3ea94-2d044c99-1efe22ad.jpg,0,0,3056,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\2a0b1393-3d2383c0-9a5047c2-31765d4e-00b93d45.jpg,0,0,1902,1847
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\a5766a7a-cf9cb467-7e88ed09-e05e186b-bd0175e5.jpg,6,23,2544,2940
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\7fc648e4-d4837d19-430c3ce1-7a56ec8a-25d06d25.jpg,0,7,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\79c84096-7fe9532d-98b08900-7479b978-af38d3e6.jpg,23,19,2523,3007
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\1f66a8bf-9f51988e-4ccfeeb9-5adc68ad-275ed476.jpg,0,23,3056,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\b4b84ff2-cff534e3-dc593c3f-186f138c-ecac4623.jpg,0,0,1833,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\35e77a89-f96d82cd-0bfe5cbc-97ceb97f-3cfc033b.jpg,27,0,2539,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\4122357d-ea4b1baa-a344e9e7-3545d245-1fd42672.jpg,7,0,2527,3051
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\661dd9ed-ddf00c15-c378ada3-3886a064-458c9d29.jpg,56,15,2475,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\5c7fad79-73b40e58-631d589b-a34f5619-b9dd55db.jpg,0,0,2499,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\428ab79e-0d23de55-440e5565-b27fbe46-586f04bf.jpg,0,0,3029,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\d63c25ff-330cdfc2-134806b4-fa1fe82b-ad317851.jpg,0,0,2021,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\49ea1a0b-6c27504d-0962abca-62a18bd6-ad2d4e5e.jpg,0,0,1803,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\e1ed12ee-758ae7c3-05fdffaf-75c4445d-33d5b648.jpg,0,22,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\b1e9981d-9710442d-7fc11336-ad7a1d03-01c4b75b.jpg,0,0,2519,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\0f6ec3f7-e617745a-0412372f-c8fbee9e-89353a24.jpg,71,0,3015,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\50747736-7e1d7e38-a2a084ec-fdf738cc-a15e27b1.jpg,0,0,3021,2539
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\5cc3d8b2-97b4fa83-6199f845-4138571b-2c3ce7e4.jpg,0,28,2278,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\6f5ebe67-fd31f42c-da5800a7-87cbe2d7-c3c95aaf.jpg,3,51,2544,3055
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\2bd3f4ee-28d12372-c3d6c1fb-1306e5c2-38506322.jpg,0,47,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\780ca3d9-040f7913-d3f75d15-20117edf-7faf2adf.jpg,0,204,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\9950c920-499b5a04-ff137513-b36c8689-e42980fd.jpg,0,0,2021,1771
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\4d074eaf-c288d145-7fceebbe-a4305c78-2732ba7e.jpg,68,0,1738,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\e7f1a2b3-afbbf7b3-b517a10b-9311cc9a-8508eff2.jpg,51,51,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\4859bc83-61565efc-dece0653-98ad591e-8af886f4.jpg,11,39,2507,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\441733c0-fa57277c-587e8e83-010d3b4e-e9fe1f22.jpg,0,0,2021,1768
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\d5980363-f41af18a-4c340930-1c1d639f-6625a21a.jpg,1,19,2544,2760
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\54df0b44-28c81010-ba002e30-f6e15a38-37b4565a.jpg,0,32,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\dab88a4f-df9d90ad-6ecdffa1-97e39412-354e61d8.jpg,59,3,3056,2507
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\12111666-ce740a6d-cc17941d-d3856571-2ea4908e.jpg,234,47,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\9a2efa12-3b3b038e-c8b1fca9-7ef14502-199a49ea.jpg,55,308,2540,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\f42c2bc4-92fed456-9b6a1df8-c47dc9de-146f9500.jpg,0,15,2522,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\7db097ff-249920c0-383c39a3-bf8a199b-8cf1e3a9.jpg,0,0,1896,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\3695c862-c6ded3c1-23ff343f-ce0a94a0-6a54bed7.jpg,0,0,1736,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\2b62cefa-efae3c06-52ffe19e-076034a4-e5099028.jpg,0,19,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\b1c78824-a9f138ec-f6c8975d-6ff79069-c2206be5.jpg,0,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\7ca1da6a-6c241695-d3a2da28-dc2b3a78-13b194ac.jpg,55,31,3020,2507
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\9358d89b-34b5fc33-6500d8af-ba11af78-d4377638.jpg,0,0,3031,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\fa906a88-1300f5e4-bb1df328-a983e58e-cd01d62d.jpg,0,174,1789,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\59b04998-c3540e4d-2dad44db-c26fe1f9-e8302e5b.jpg,0,0,1736,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\9f562e76-cd7012c5-7f130f62-c0f2e733-b1a29c78.jpg,0,27,3056,2531
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\fd77b623-a6f231b8-9b96f86c-07da066a-56fb98ad.jpg,0,102,2544,3006
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\7134e471-35168765-b05bd5c0-c524e057-986ccbe1.jpg,23,0,2544,3015
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\3c0b08b1-19f8aca4-31d31e97-78aa2e54-aaacdcc2.jpg,88,0,2908,2178
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\b0a04210-be5c1dd0-d259ba66-549bc14c-87d17577.jpg,0,35,3023,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\c1327073-49855d5f-e77135e1-b007c497-7269e3dc.jpg,0,219,1746,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\c981cb87-7d82f6c8-c54c7363-a4f63586-ea2389c8.jpg,0,0,2523,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\4f831da4-11588318-73070c3c-41f50e12-dc539620.jpg,3,0,2544,2405
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\81805fab-16b732ef-51d9d136-ebef4030-950bd3a9.jpg,0,19,3056,2539
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\93e22d4b-9b1baa7e-0d143944-eeceb5d8-2ee23df3.jpg,55,19,3056,2503
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\e38b4630-7efba95b-ad184745-572d9468-27c7bf72.jpg,43,442,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\0a325830-33f45754-e9b478f1-c6a24019-273688c4.jpg,58,55,2451,2779
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\f039ea13-d4915b69-462a24ce-d2a4c1bf-238e1b9d.jpg,0,0,1736,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\b38f80a1-eaca8753-f812aaed-6ca595e0-5474df23.jpg,59,47,2544,2999
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\c5c74850-07a88b0c-7741509a-8aa8a45d-7fd8fe3e.jpg,56,15,2476,2983
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\92b229e5-3b4e29bc-46ce4555-1d1bc4d2-21cd452b.jpg,0,31,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\5fa7366f-a1364335-469ab097-8357ed9e-fd03b522.jpg,0,0,2531,2397
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\be6b1cde-766722d6-8540d70c-1a56431c-43318906.jpg,0,35,3043,2543
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\925f17f2-bc4f8f87-b877bee4-7c0428d9-86578d23.jpg,19,23,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\9fc2a2b3-7822bb28-d5c490a3-076555bd-74aa9aa0.jpg,55,0,2504,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\31746be6-4a157ece-05ecea1f-7a0882e8-9c948243.jpg,29,0,1736,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\4ae48fed-a5a928ad-583f5cdc-4648dbc7-6c1e8187.jpg,0,23,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\4133b610-3b3cad7e-0b01f2af-e4da71a9-4daabde8.jpg,0,0,1780,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\14492143-748131f4-d85dc233-e8ca5251-bcfa40a3.jpg,35,43,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\fcf4d501-65d91ce5-a88b16d8-33ab6d25-01159ad3.jpg,55,0,3056,2511
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\2c5ee480-1b04a773-202855b8-519d1b4f-e6064c49.jpg,0,0,1736,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\3e6732a0-8ed02fb3-ae5cbc67-c5943aa1-9cf91bf4.jpg,135,122,2444,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\9c0bedab-77800dd2-919e37e2-7352d90f-2f2b5e03.jpg,331,49,2895,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\728198d8-21b6c17a-9e5e604c-30e16b90-f9cee022.jpg,67,27,2487,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\a19d068f-bb289ade-d3347ed8-38bda7bc-b1e1a410.jpg,0,0,1804,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\56311775-d619f172-3e28d248-9270bca7-99eb4d26.jpg,55,35,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\2b881488-9dbe4d04-46dddf87-9d8950d4-124a17a9.jpg,88,59,3056,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\14605bf0-3d141911-04a00eaf-9c4782e7-ba508ae2.jpg,0,0,1736,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\b1931dbb-790f08a7-e69f295d-b4bca6d5-c55371ce.jpg,3,27,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\d8b6b619-9e181de2-c46adb2d-08194ead-eefd7108.jpg,55,31,2532,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\ba162abf-03a6aeed-ac54d4d2-440285bb-b0eec850.jpg,0,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\48369f80-beace7e5-4b33d088-af4d11a6-90e73273.jpg,0,0,1783,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\7da919da-6cd952fd-2166d457-c9f6563e-2a76c28b.jpg,0,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\3b6d7f6e-8f20563e-2543a5cd-8b5a5ddc-5869e68b.jpg,14,0,3056,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\8f93b2de-1ed8d318-1e9db04e-9e2d60ba-3a55d56e.jpg,55,255,2519,2759
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\8f785f68-e247f906-89d1a18b-c4e4b3e1-2f2cecd9.jpg,0,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\8c06fa9e-00e5a318-0266eeb3-c9c3c2ae-89e4cd5f.jpg,0,0,1736,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\dcb06a14-2dbc407d-6980a0ae-cd1e4d94-a253b88b.jpg,0,0,1736,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\35dacc61-5973e20b-2852e00c-fc7a308c-ff022367.jpg,0,11,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\1d279366-ef8a9c43-a0314bd1-c9e69f88-d4547099.jpg,0,0,1940,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\0b34ea72-1d0e1c0d-6c4c592b-e5b39b29-741b541b.jpg,0,0,2992,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\7e5e4949-f84ba678-69e4070a-6b465193-0093dd63.jpg,23,47,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\5081f0a3-ca47c10d-47845294-e321857d-a5d0f660.jpg,23,111,2507,2938
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\075401d9-6406a3eb-9f831218-cd8a786e-5660563d.jpg,0,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\3f932c7b-9ac6748c-ff2ed559-95f988dc-3a102484.jpg,0,0,2519,3011
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\eff9ddd5-95804a68-22690228-ebffd4af-9486e80b.jpg,23,55,2519,3052
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\14a801d0-26ab9205-92fe952b-40582d7c-530a4627.jpg,0,0,1936,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\196485f6-66508452-3f992f30-5e0c4182-53d9d2d0.jpg,0,0,1767,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\4510cc5f-85c326be-1bac9fba-f7ff3205-3493102b.jpg,0,0,1846,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\d6593f0b-738b2fbe-f1120d02-e5a720e4-d7db3aa2.jpg,0,0,1794,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\2e35ffe7-c8beb89b-c6496a2e-8ef59188-90ec597f.jpg,0,0,1750,1676
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\64613c7b-ce9fb911-c2eb42ab-41a905ea-97ce9a9d.jpg,0,0,3027,2543
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\5162f509-3bb25a9e-7f770e99-6695d577-ad5a7cf5.jpg,180,30,2544,3055
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\711d6472-5ff3166e-7741ea62-00213982-c3a8a67b.jpg,0,35,2539,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\53bbac49-30ed19eb-518cb8a9-99281b1b-00adaaa4.jpg,0,0,1736,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\1f175763-e336923c-b7746d2e-68ba62d7-b2696abf.jpg,0,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\ab4a58d9-f6af4e02-429276ab-b37e0b31-963ff501.jpg,0,51,3056,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\d4ccdcf8-98a42846-571a00d8-fe16fcf9-d8e0ef25.jpg,96,0,2420,2569
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\9ea3778c-d75fec9c-996b2a8f-739a5b91-84b87d03.jpg,0,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\806cafe6-0a0cd066-db362bfb-224d4329-204c7982.jpg,0,171,2511,2842
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\166abd1b-08c07b44-f9b5c387-92dfe627-a363e9d2.jpg,0,0,2021,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\210180d1-4cf3ae2a-6da96cb2-1fc4f80e-d703809f.jpg,0,0,2021,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\38fe43cc-2f21320e-fc819f31-bd76be87-a4df1a27.jpg,0,0,2022,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\8a3fc7d9-f7bbe6a3-c45d5223-76530d7b-315de76d.jpg,0,0,2022,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\e02b4e63-e5e9fdd5-edf186f2-618d9081-9aa0f390.jpg,0,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\55c0bdff-85bff2da-a645d98c-7ff2e7ac-fd25e778.jpg,0,0,2022,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\d9d2822a-ee0c7fa2-e9221b87-0397a30e-2eabf115.jpg,101,35,2511,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\18867861-43aa9d81-2c31b267-e5698f15-bedd6e73.jpg,0,55,3056,2540
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\226087aa-1c65c6a8-e3707939-519726c2-4b9a78a6.jpg,0,0,2022,1736
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\2f9af546-a1391d2d-51eb4d4c-9f3acdb4-abf535f3.jpg,0,0,2022,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\3e248b55-e337a887-db9a45e9-46e262e0-54219eb5.jpg,0,0,1849,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\ce3ec72b-aaa7e7b7-cda1325b-3451d365-32e381fd.jpg,43,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\667936ab-7b210ca9-52009780-8016f88a-662cc948.jpg,0,0,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\8b0043f5-919faaf1-20bf586d-1aefe240-19eea556.jpg,47,0,2787,2389
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\809d2193-ca533dbb-3463e9eb-c60328aa-2a91fe1a.jpg,0,0,1946,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\f649b778-2dc48c7d-7709a609-e37e32ce-a76f8b6e.jpg,55,173,2503,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\f573a9f7-7f1d2396-616aae26-859989f7-024c9ffc.jpg,0,39,3056,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\59b5a3e1-5010508a-8c5f1908-a1eb2937-54007f58.jpg,142,16,2462,2718
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\2d03e568-3143b597-acbdc6fa-a76183f1-c8eb7603.jpg,0,0,2022,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\9e352090-2f6bc8e0-dfc85964-355a8941-fd7e3408.jpg,0,0,1736,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\21690e1d-87d7c0fc-3b78e3e7-4fad1f41-beb873c9.jpg,0,0,2544,3056
